pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
1084.680000,371.400000,1029.092957,569.000378,1064.050000,338.010000,NaN,NaN
1073.020000,372.600000,1004.720000,567.840000,1052.000000,339.860000,NaN,NaN
1059.860000,375.900000,979.360187,566.201765,1036.990000,342.590000,NaN,NaN
1046.050315,378.026025,963.155127,568.235330,1016.072069,347.120605,NaN,NaN
1029.270000,380.410000,944.440000,574.230000,995.157508,351.985827,NaN,NaN
1004.240000,380.900000,924.982585,580.886463,974.876768,352.985827,NaN,NaN
987.700000,378.660000,920.420000,582.220000,958.060000,352.830000,NaN,NaN
972.500000,377.800000,915.480000,582.420000,943.540000,352.020000,NaN,NaN
960.150000,377.930000,911.100000,582.200000,931.950000,351.360000,NaN,NaN
949.630000,379.070000,908.110000,582.170000,922.550000,351.130000,NaN,NaN
940.260000,381.270000,905.720000,582.520000,914.870000,351.200000,NaN,NaN
931.620000,382.840000,903.970000,582.910000,909.150000,350.520000,NaN,NaN
924.250000,385.470000,902.430000,583.050000,903.580000,350.690000,NaN,NaN
916.180000,387.960000,900.760000,583.320000,899.600000,350.840000,NaN,NaN
907.620000,389.790000,899.370000,583.270000,894.760000,350.850000,NaN,NaN
898.790000,390.690000,897.200000,583.060000,888.950000,350.750000,NaN,NaN
882.990000,390.790000,894.520000,583.030000,880.940000,351.610000,NaN,NaN
870.780000,391.170000,891.760000,583.500000,870.190000,352.280000,NaN,NaN
859.205446,389.514643,888.000000,584.120000,856.150000,353.610000,NaN,NaN
838.610085,386.550628,883.020000,584.730000,840.500000,355.970000,NaN,NaN
827.957312,385.957825,876.680000,585.270000,821.230000,358.100000,NaN,NaN
801.530468,388.602165,870.520000,585.800000,798.155055,363.779055,NaN,NaN
771.204249,396.391023,862.530000,586.710000,771.905316,368.658610,NaN,NaN
740.100435,399.636381,852.080000,582.950000,745.680000,371.630000,NaN,NaN
719.882956,400.285452,836.260000,573.760000,722.070000,368.530000,NaN,NaN
707.441430,402.136381,821.710000,572.640000,699.298882,368.918731,NaN,NaN
694.222309,407.425239,803.170000,571.440000,677.080000,370.060000,NaN,NaN
674.170000,410.000000,783.720000,574.390000,654.679182,375.588266,NaN,NaN
652.600000,414.050000,763.075804,580.948118,632.030000,380.480000,NaN,NaN
632.730000,414.920000,735.913772,586.616265,608.590000,383.350000,NaN,NaN
611.480000,417.550000,701.961231,596.484857,585.260000,388.120000,NaN,NaN
586.740000,423.940000,672.582996,601.353449,558.159636,395.852564,NaN,NaN
563.000000,431.570000,658.950000,603.010000,530.063677,404.879685,NaN,NaN
538.670000,439.950000,643.560000,603.780000,501.418626,416.538645,NaN,NaN
504.968195,451.775835,627.530000,605.280000,470.459089,431.774135,NaN,NaN
481.147558,463.542485,610.790000,607.260000,439.686169,452.015334,NaN,NaN
452.412658,483.263887,595.900000,608.290000,408.798813,474.865714,NaN,NaN
423.039206,505.117331,578.110000,609.360000,377.977781,505.892864,NaN,NaN
393.027199,532.300885,558.900000,613.920000,351.259464,542.565523,NaN,NaN
364.930853,574.941753,540.660000,622.130000,327.715066,587.754852,NaN,NaN
342.581487,618.115632,521.140000,635.510000,307.721128,641.178860,NaN,NaN
329.386098,663.513812,502.290000,647.810000,297.115016,689.666348,NaN,NaN
321.236008,649.316221,484.369926,623.526603,289.896043,673.406579,NaN,NaN
318.046843,641.034292,472.620000,612.830000,287.174821,661.854991,NaN,NaN
312.731567,641.330076,465.190000,611.350000,283.287681,660.854991,NaN,NaN
312.377215,644.879473,463.380000,621.450000,282.780000,664.390000,NaN,NaN
308.833698,654.344534,461.250000,635.900000,278.920000,674.840000,NaN,NaN
306.900000,666.730000,459.880000,651.890000,277.800000,688.480000,NaN,NaN
302.430000,668.610000,455.010000,653.400000,274.530000,688.320000,NaN,NaN
301.460000,669.000000,451.550000,653.920000,273.450000,688.490000,NaN,NaN
301.350000,668.010000,451.730000,653.760000,272.320000,688.280000,NaN,NaN
